Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Oct 18, 2021 12:00 AM to Sun, Oct 24, 2021 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,2,1,0,0,3
8:00AM - 8:59AM,0,0,1,0,1,0,0,2
9:00AM - 9:59AM,3,2,0,0,0,0,0,5
10:00AM - 10:59AM,3,1,1,0,1,3,0,9
11:00AM - 11:59AM,0,0,1,0,0,0,0,1
12:00PM - 12:59PM,2,0,2,1,0,2,1,8
1:00PM - 1:59PM,1,0,0,1,0,0,0,2
2:00PM - 2:59PM,1,0,0,0,0,0,0,1
3:00PM - 3:59PM,0,0,0,1,1,0,1,3
4:00PM - 4:59PM,2,0,0,1,1,0,0,4
5:00PM - 5:59PM,1,0,0,0,1,0,0,2
6:00PM - 6:59PM,0,1,0,1,0,1,1,4
7:00PM - 7:59PM,2,1,0,1,0,0,1,5
Membership Totals:,15,5,5,8,6,6,4,49
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,1,5,2,3,2,0,13
7:00AM - 7:59AM,0,0,4,0,2,0,0,6
8:00AM - 8:59AM,0,1,1,1,0,1,0,4
9:00AM - 9:59AM,2,3,4,1,4,3,1,18
10:00AM - 10:59AM,2,1,1,4,0,7,0,15
11:00AM - 11:59AM,3,3,0,3,0,3,1,13
12:00PM - 12:59PM,2,0,1,1,0,1,1,6
1:00PM - 1:59PM,1,1,0,0,1,0,0,3
2:00PM - 2:59PM,0,1,1,0,1,0,1,4
3:00PM - 3:59PM,1,2,4,1,4,2,1,15
4:00PM - 4:59PM,2,2,1,6,2,1,2,16
5:00PM - 5:59PM,1,2,6,4,1,0,0,14
6:00PM - 6:59PM,0,3,1,3,2,1,0,10
7:00PM - 7:59PM,0,0,2,1,0,0,0,3
8:00PM - 8:59PM,0,2,0,0,1,0,0,3
9:00PM - 9:59PM,0,1,1,0,0,0,0,2
Membership Totals:,14,23,32,27,21,21,7,145
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,1,0,0,0,0,1
6:00PM - 6:59PM,0,0,0,0,2,0,0,2
Membership Totals:,0,0,1,0,2,0,0,3
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,1,0,1,0,0,3
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,1,1,1,1,0,0,4
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,1,0,0,0,1
5:00PM - 5:59PM,0,1,0,0,1,0,0,2
